"date","open","high","low","close","volume","market_cap"
"2022-05-28","0.0822481949","0.0830475061","0.0811510101","0.0818392615","535539620","10857677366.00"
"2022-05-27","0.0782105458","0.0853839867","0.0765821392","0.0813347802","1310057650","10790747448.00"
"2022-05-26","0.0829944431","0.0835999490","0.0760652204","0.0782516454","711890872","10381705602.00"
"2022-05-25","0.0836278303","0.0843376148","0.0823187482","0.0829851461","419834751","11009702756.00"
"2022-05-24","0.0832666610","0.0843167541","0.0808109067","0.0836373669","462415724","11096233388.00"
"2022-05-23","0.0860835280","0.0881096369","0.0828579929","0.0832529862","507385171","11045237305.00"
"2022-05-22","0.0844482628","0.0864795401","0.0840578431","0.0861052063","375026021","11423643528.00"
"2022-05-21","0.0839717774","0.0851103313","0.0829320362","0.0844627954","335246011","11205743624.00"
"2022-05-20","0.0867187560","0.0877497909","0.0828592873","0.0839770473","518556378","11141299048.00"
"2022-05-19","0.0836349030","0.0871239610","0.0820869447","0.0867225481","613801947","11505546741.00"
"2022-05-18","0.0902209772","0.0907966952","0.0836491089","0.0836491089","558257803","11097791216.00"
"2022-05-17","0.0878360286","0.0911121222","0.0874839788","0.0902131563","560800172","11968648400.00"
"2022-05-16","0.0928666824","0.0930607285","0.0864275163","0.0878410792","606521740","11653943120.00"
"2022-05-15","0.0897845203","0.0928428145","0.0868760763","0.0928428145","651900825","12317527158.00"
"2022-05-14","0.0883412522","0.0915979108","0.0844830098","0.0897964053","902479951","11913357725.00"
"2022-05-13","0.0826385213","0.0942540516","0.0823713755","0.0883305108","1444350618","11718876379.00"
"2022-05-12","0.0846360134","0.0890281495","0.0700366682","0.0826709816","2631064083","10968022313.00"
"2022-05-11","0.1084485725","0.1105648305","0.0800363549","0.0845807085","2556008051","11221387239.00"
"2022-05-10","0.1047083148","0.1177754182","0.1008812653","0.1084774754","1723066438","14391789569.00"
"2022-05-09","0.1242001168","0.1251358604","0.1048239718","0.1048239718","1353326367","13907076456.00"
"2022-05-08","0.1275265519","0.1280165649","0.1239742166","0.1242071795","728953160","16478661440.00"
"2022-05-07","0.1278897373","0.1319197140","0.1253653095","0.1275320486","746383230","16919774366.00"
"2022-05-06","0.1284033393","0.1293052531","0.1245660570","0.1279005091","839005987","16968658299.00"
"2022-05-05","0.1358125215","0.1373127352","0.1266972829","0.1284295026","1258066467","17038840266.00"
"2022-05-04","0.1295144249","0.1358087562","0.1293131783","0.1358087562","838050627","18017851487.00"
"2022-05-03","0.1309348248","0.1318328490","0.1273986680","0.1295200736","555706527","17183527162.00"
"2022-05-02","0.1327942059","0.1337829933","0.1283001308","0.1309379858","769062731","17371642651.00"
"2022-05-01","0.1275886339","0.1348207179","0.1275326988","0.1327725351","991710768","17615033707.00"
"2022-04-30","0.1350329101","0.1365283110","0.1262386635","0.1275574091","916612070","16923138964.00"
"2022-04-29","0.1373762056","0.1446431291","0.1340991332","0.1350272488","1555397213","17914168301.00"
"2022-04-28","0.1396910818","0.1426177164","0.1360581439","0.1373626130","1105137506","18224002850.00"
"2022-04-27","0.1378474581","0.1454048416","0.1362719188","0.1396997799","1765370972","18534076575.00"
"2022-04-26","0.1577774847","0.1652780791","0.1374243124","0.1377671029","4529010503","18277666837.00"
"2022-04-25","0.1319358851","0.1677351690","0.1238686185","0.1579586856","5177823685","20956499548.00"
"2022-04-24","0.1342018388","0.1346904144","0.1315021716","0.1319469379","436620221","17505501096.00"
"2022-04-23","0.1363867785","0.1364946770","0.1338098153","0.1342411653","349740068","17809878001.00"
"2022-04-22","0.1363570562","0.1379080912","0.1349847984","0.1363949874","505251263","18095627231.00"
"2022-04-21","0.1408680599","0.1424482633","0.1352552670","0.1363653258","740549793","18091691994.00"
"2022-04-20","0.1426774035","0.1462406345","0.1395949006","0.1408783447","1068542289","18690437664.00"
"2022-04-19","0.1402967106","0.1441411301","0.1394996224","0.1426649312","679511646","18927465460.00"
"2022-04-18","0.1394709893","0.1404612786","0.1343838488","0.1402856662","909718483","18611806558.00"
"2022-04-17","0.1436933639","0.1447087606","0.1389947532","0.1394589856","636442285","18502130209.00"
"2022-04-16","0.1460165873","0.1478109684","0.1420929089","0.1437121692","584019179","19066403328.00"
"2022-04-15","0.1439172281","0.1492868192","0.1427668902","0.1460262397","1140382087","19373412830.00"
"2022-04-14","0.1400528426","0.1466329187","0.1381012117","0.1439201212","1759067761","19093992476.00"
"2022-04-13","0.1380699326","0.1426078905","0.1370668852","0.1400804134","890728707","18584575505.00"
"2022-04-12","0.1346519409","0.1441215048","0.1342434925","0.1380763066","1214105682","18318689127.00"
"2022-04-11","0.1493744951","0.1512916662","0.1338183100","0.1346541426","1515679359","17864668009.00"
"2022-04-10","0.1443041701","0.1569718791","0.1438632708","0.1495351746","1931829669","19838945901.00"
"2022-04-09","0.1425436523","0.1444624648","0.1414164901","0.1443034852","523997409","19144853674.00"
"2022-04-08","0.1461056507","0.1527162224","0.1416084767","0.1425486212","1683800631","18912034531.00"
"2022-04-07","0.1434324972","0.1480281046","0.1413115435","0.1461020679","1420790611","19383473010.00"
"2022-04-06","0.1724847972","0.1734967509","0.1432908476","0.1434166328","3729047979","19027194283.00"
"2022-04-05","0.1486140359","0.1780452803","0.1477269909","0.1729065303","5230288678","22939641521.00"
"2022-04-04","0.1464134467","0.1553122170","0.1420076797","0.1485908992","2253509569","19713668161.00"
"2022-04-03","0.1389030015","0.1485575144","0.1370876628","0.1464531429","1047399132","19430050406.00"
"2022-04-02","0.1413100283","0.1440686042","0.1388818490","0.1389129040","682408265","18429681147.00"
"2022-04-01","0.1379216778","0.1423942268","0.1332094003","0.1413154515","877530017","18748428964.00"
"2022-03-31","0.1431838112","0.1472201400","0.1371724636","0.1378260661","1055136949","18285489532.00"
"2022-03-30","0.1444564316","0.1449971556","0.1398801540","0.1432100742","884305262","18999790005.00"
"2022-03-29","0.1425569948","0.1485586796","0.1412900602","0.1444695923","961074557","19166891229.00"
"2022-03-28","0.1447251950","0.1527371857","0.1424565890","0.1426572616","1476875507","18926447924.00"
"2022-03-27","0.1359004681","0.1448581524","0.1357026370","0.1447315348","1445019558","19201643340.00"
"2022-03-26","0.1310103614","0.1364953343","0.1298782236","0.1358675316","610401998","18025649264.00"
"2022-03-25","0.1366027480","0.1372747560","0.1287824294","0.1310130927","882486375","17381607142.00"
"2022-03-24","0.1297219723","0.1406051258","0.1284547967","0.1365499418","2017926806","18116185139.00"
"2022-03-23","0.1224865315","0.1307134723","0.1213608970","0.1297272075","998922752","17211007774.00"
"2022-03-22","0.1193326750","0.1253499015","0.1190143311","0.1224812070","610507111","16249675347.00"
